profile,run,allocs,native,output_counts,peak_extra_bytes,reallocs,requested_bytes,round,source,variant
debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,5,lib/tests/core/native-frames.zy,explicit
debug,0,299,False,"[104, 26, 8, 0]",66866,7,122752,5,lib/tests/core/native-frames.zy,recursive
debug,0,534,False,"[104, 26, 8, 0]",42070,1,89192,5,lib/tests/core/native-frames.zy,original
debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,6,lib/tests/core/native-frames.zy,explicit
debug,0,299,False,"[104, 26, 8, 0]",66866,7,122752,6,lib/tests/core/native-frames.zy,recursive
debug,0,534,False,"[104, 26, 8, 0]",42070,1,89192,6,lib/tests/core/native-frames.zy,original
debug,0,413,False,"[104, 26, 8, 0]",42390,1,77168,6,lib/tests/core/native-frames.zy,jobs
debug,0,299,False,"[104, 26, 8, 0]",66866,7,122752,7,lib/tests/core/native-frames.zy,recursive
debug,0,534,False,"[104, 26, 8, 0]",42070,1,89192,7,lib/tests/core/native-frames.zy,original
debug,0,413,False,"[104, 26, 8, 0]",42390,1,77168,7,lib/tests/core/native-frames.zy,jobs
debug,0,300,False,"[104, 26, 8, 0]",67378,7,123264,7,lib/tests/core/native-frames.zy,explicit
debug,0,495,True,"[97, 25, 8, 9]",41949,1,87560,0,lib/tests/core/native-frames.zy,original
debug,0,384,True,"[97, 25, 8, 9]",42269,1,76468,0,lib/tests/core/native-frames.zy,jobs
debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,0,lib/tests/core/native-frames.zy,explicit
debug,0,285,True,"[97, 25, 8, 9]",54457,6,97956,0,lib/tests/core/native-frames.zy,recursive
debug,0,384,True,"[97, 25, 8, 9]",42269,1,76468,1,lib/tests/core/native-frames.zy,jobs
debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,1,lib/tests/core/native-frames.zy,explicit
debug,0,285,True,"[97, 25, 8, 9]",54457,6,97956,1,lib/tests/core/native-frames.zy,recursive
debug,0,495,True,"[97, 25, 8, 9]",41949,1,87560,1,lib/tests/core/native-frames.zy,original
debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,2,lib/tests/core/native-frames.zy,explicit
debug,0,285,True,"[97, 25, 8, 9]",54457,6,97956,2,lib/tests/core/native-frames.zy,recursive
debug,0,495,True,"[97, 25, 8, 9]",41949,1,87560,2,lib/tests/core/native-frames.zy,original
debug,0,384,True,"[97, 25, 8, 9]",42269,1,76468,2,lib/tests/core/native-frames.zy,jobs
debug,0,285,True,"[97, 25, 8, 9]",54457,6,97956,3,lib/tests/core/native-frames.zy,recursive
debug,0,495,True,"[97, 25, 8, 9]",41949,1,87560,3,lib/tests/core/native-frames.zy,original
debug,0,384,True,"[97, 25, 8, 9]",42269,1,76468,3,lib/tests/core/native-frames.zy,jobs
debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,3,lib/tests/core/native-frames.zy,explicit
debug,0,495,True,"[97, 25, 8, 9]",41949,1,87560,4,lib/tests/core/native-frames.zy,original
debug,0,384,True,"[97, 25, 8, 9]",42269,1,76468,4,lib/tests/core/native-frames.zy,jobs
debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,4,lib/tests/core/native-frames.zy,explicit
debug,0,285,True,"[97, 25, 8, 9]",54457,6,97956,4,lib/tests/core/native-frames.zy,recursive
debug,0,384,True,"[97, 25, 8, 9]",42269,1,76468,5,lib/tests/core/native-frames.zy,jobs
debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,5,lib/tests/core/native-frames.zy,explicit
debug,0,285,True,"[97, 25, 8, 9]",54457,6,97956,5,lib/tests/core/native-frames.zy,recursive
debug,0,495,True,"[97, 25, 8, 9]",41949,1,87560,5,lib/tests/core/native-frames.zy,original
debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,6,lib/tests/core/native-frames.zy,explicit
debug,0,285,True,"[97, 25, 8, 9]",54457,6,97956,6,lib/tests/core/native-frames.zy,recursive
debug,0,495,True,"[97, 25, 8, 9]",41949,1,87560,6,lib/tests/core/native-frames.zy,original
debug,0,384,True,"[97, 25, 8, 9]",42269,1,76468,6,lib/tests/core/native-frames.zy,jobs
debug,0,285,True,"[97, 25, 8, 9]",54457,6,97956,7,lib/tests/core/native-frames.zy,recursive
debug,0,495,True,"[97, 25, 8, 9]",41949,1,87560,7,lib/tests/core/native-frames.zy,original
debug,0,384,True,"[97, 25, 8, 9]",42269,1,76468,7,lib/tests/core/native-frames.zy,jobs
debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,7,lib/tests/core/native-frames.zy,explicit
debug,0,527,False,"[93, 26, 7, 0]",42506,2,89288,0,lib/tests/builtin/host-return.zy,original
debug,0,416,False,"[93, 26, 7, 0]",42826,2,78544,0,lib/tests/builtin/host-return.zy,jobs
debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,0,lib/tests/builtin/host-return.zy,explicit
debug,0,305,False,"[93, 26, 7, 0]",55026,7,99096,0,lib/tests/builtin/host-return.zy,recursive
debug,0,416,False,"[93, 26, 7, 0]",42826,2,78544,1,lib/tests/builtin/host-return.zy,jobs
debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,1,lib/tests/builtin/host-return.zy,explicit
debug,0,305,False,"[93, 26, 7, 0]",55026,7,99096,1,lib/tests/builtin/host-return.zy,recursive
debug,0,527,False,"[93, 26, 7, 0]",42506,2,89288,1,lib/tests/builtin/host-return.zy,original
