profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
debug,0,285334,343,15,5453126,True,"[265, 89, 14, 13]",11,lib/tests/core/fact.zy,explicit
debug,0,275538,343,15,4926290,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,original
debug,0,275251,343,15,4845835,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,jobs
debug,0,267168,343,15,5279877,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,explicit
debug,0,267086,343,15,5087791,True,"[265, 89, 14, 13]",12,lib/tests/core/fact.zy,recursive
debug,0,265373,343,15,4808206,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,jobs
debug,0,263626,343,15,5366375,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,explicit
debug,0,272624,343,15,5218542,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,recursive
debug,0,294168,343,15,5038666,True,"[265, 89, 14, 13]",13,lib/tests/core/fact.zy,original
debug,0,363041,343,15,6384333,True,"[265, 89, 14, 13]",14,lib/tests/core/fact.zy,explicit
debug,0,266333,343,15,5156583,True,"[265, 89, 14, 13]",14,lib/tests/core/fact.zy,recursive
debug,0,267373,343,15,4902832,True,"[265, 89, 14, 13]",14,lib/tests/core/fact.zy,original
debug,0,271004,343,15,4771041,True,"[265, 89, 14, 13]",14,lib/tests/core/fact.zy,jobs
debug,0,261000,343,15,5138293,True,"[265, 89, 14, 13]",15,lib/tests/core/fact.zy,recursive
debug,0,259627,343,15,4871961,True,"[265, 89, 14, 13]",15,lib/tests/core/fact.zy,original
debug,0,262876,343,15,4708499,True,"[265, 89, 14, 13]",15,lib/tests/core/fact.zy,jobs
debug,0,270373,343,15,5429792,True,"[265, 89, 14, 13]",15,lib/tests/core/fact.zy,explicit
debug,0,338043,343,15,5659418,True,"[265, 89, 14, 13]",16,lib/tests/core/fact.zy,original
debug,0,309084,343,15,5445420,True,"[265, 89, 14, 13]",16,lib/tests/core/fact.zy,jobs
debug,0,316247,343,15,5541747,True,"[265, 89, 14, 13]",16,lib/tests/core/fact.zy,explicit
debug,0,352042,343,15,5796874,True,"[265, 89, 14, 13]",16,lib/tests/core/fact.zy,recursive
debug,0,342541,343,15,5763918,True,"[265, 89, 14, 13]",17,lib/tests/core/fact.zy,jobs
debug,0,273124,343,15,5405250,True,"[265, 89, 14, 13]",17,lib/tests/core/fact.zy,explicit
debug,0,373748,343,15,5852335,True,"[265, 89, 14, 13]",17,lib/tests/core/fact.zy,recursive
debug,0,330960,343,15,5545209,True,"[265, 89, 14, 13]",17,lib/tests/core/fact.zy,original
debug,0,345500,343,15,6359540,True,"[265, 89, 14, 13]",18,lib/tests/core/fact.zy,explicit
debug,0,346623,343,15,6499335,True,"[265, 89, 14, 13]",18,lib/tests/core/fact.zy,recursive
debug,0,279667,343,15,5005457,True,"[265, 89, 14, 13]",18,lib/tests/core/fact.zy,original
debug,0,327166,343,15,5344626,True,"[265, 89, 14, 13]",18,lib/tests/core/fact.zy,jobs
debug,0,276500,343,15,5253545,True,"[265, 89, 14, 13]",19,lib/tests/core/fact.zy,recursive
debug,0,304708,343,15,5392918,True,"[265, 89, 14, 13]",19,lib/tests/core/fact.zy,original
debug,0,357499,343,15,5695045,True,"[265, 89, 14, 13]",19,lib/tests/core/fact.zy,jobs
debug,0,290123,343,15,5436626,True,"[265, 89, 14, 13]",19,lib/tests/core/fact.zy,explicit
debug,0,274290,343,15,5001164,True,"[265, 89, 14, 13]",20,lib/tests/core/fact.zy,original
debug,0,266373,343,15,4742415,True,"[265, 89, 14, 13]",20,lib/tests/core/fact.zy,jobs
debug,0,274334,343,15,5334124,True,"[265, 89, 14, 13]",20,lib/tests/core/fact.zy,explicit
debug,0,270622,343,15,5071418,True,"[265, 89, 14, 13]",20,lib/tests/core/fact.zy,recursive
debug,0,261251,343,15,4735918,True,"[265, 89, 14, 13]",21,lib/tests/core/fact.zy,jobs
debug,0,267584,343,15,5272873,True,"[265, 89, 14, 13]",21,lib/tests/core/fact.zy,explicit
debug,0,263916,343,15,5141334,True,"[265, 89, 14, 13]",21,lib/tests/core/fact.zy,recursive
debug,0,259917,343,15,4901333,True,"[265, 89, 14, 13]",21,lib/tests/core/fact.zy,original
debug,0,255331,343,15,5254250,True,"[265, 89, 14, 13]",22,lib/tests/core/fact.zy,explicit
