profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
release,0,612505,343,69,5081833,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,explicit
release,0,609168,343,69,4194293,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,recursive
release,0,665290,343,69,4325418,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,original
release,0,533413,343,69,3643170,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,jobs
release,0,549581,343,69,4375877,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,explicit
release,0,492165,343,69,3524457,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,recursive
release,0,468622,343,69,3496715,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,original
release,0,682333,343,69,4233966,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,jobs
release,0,529371,343,69,4537295,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,baseline
release,0,497918,343,69,3467167,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,recursive
release,0,564083,343,69,4306254,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,original
release,0,698831,343,69,3544040,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,jobs
release,0,562335,343,69,4466707,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,baseline
release,0,420751,343,69,3442121,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,explicit
release,0,422128,343,69,3449295,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,original
release,0,413253,343,69,3107247,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,jobs
release,0,487997,343,69,3894004,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,baseline
release,0,463495,343,69,3631749,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,explicit
release,0,470543,343,69,3366913,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,recursive
release,0,488211,343,69,3168374,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,jobs
release,0,445124,343,69,3616621,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,baseline
release,0,480919,343,69,3646331,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,explicit
release,0,427121,343,69,3307540,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,recursive
release,0,478543,343,69,3785044,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,original
release,0,754080,343,69,5076915,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,baseline
release,0,817045,343,69,4468041,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,explicit
release,0,652369,343,69,4603542,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,recursive
release,0,628122,343,69,5038672,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,original
release,0,1053001,343,69,5045168,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,jobs
release,0,662496,343,69,4260960,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,explicit
release,0,737790,343,69,4511959,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,recursive
release,0,483454,343,69,3516712,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,original
release,0,695708,343,69,4192545,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,jobs
