experiment,profile,run,allocs,native,output_counts,peak_extra_bytes,reallocs,requested_bytes,round,source,variant
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,2,lib/tests/core/native-frames.zy,direct
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,2,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,2,lib/tests/core/native-frames.zy,baseline
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,2,lib/tests/core/native-frames.zy,trim
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,3,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,3,lib/tests/core/native-frames.zy,baseline
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,3,lib/tests/core/native-frames.zy,trim
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,3,lib/tests/core/native-frames.zy,direct
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,4,lib/tests/core/native-frames.zy,baseline
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,4,lib/tests/core/native-frames.zy,trim
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,4,lib/tests/core/native-frames.zy,direct
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,4,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,5,lib/tests/core/native-frames.zy,trim
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,5,lib/tests/core/native-frames.zy,direct
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,5,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,5,lib/tests/core/native-frames.zy,baseline
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,6,lib/tests/core/native-frames.zy,direct
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,6,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,6,lib/tests/core/native-frames.zy,baseline
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,6,lib/tests/core/native-frames.zy,trim
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,7,lib/tests/core/native-frames.zy,trim_direct
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,7,lib/tests/core/native-frames.zy,baseline
selected,debug,0,286,True,"[97, 25, 8, 9]",45753,4,80036,7,lib/tests/core/native-frames.zy,trim
selected,debug,0,286,True,"[97, 25, 8, 9]",54969,6,98468,7,lib/tests/core/native-frames.zy,direct
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,0,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,0,lib/tests/builtin/host-return.zy,trim
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,0,lib/tests/builtin/host-return.zy,direct
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,0,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,1,lib/tests/builtin/host-return.zy,trim
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,1,lib/tests/builtin/host-return.zy,direct
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,1,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,1,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,2,lib/tests/builtin/host-return.zy,direct
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,2,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,2,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,2,lib/tests/builtin/host-return.zy,trim
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,3,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,3,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,3,lib/tests/builtin/host-return.zy,trim
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,3,lib/tests/builtin/host-return.zy,direct
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,4,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,4,lib/tests/builtin/host-return.zy,trim
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,4,lib/tests/builtin/host-return.zy,direct
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,4,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,5,lib/tests/builtin/host-return.zy,trim
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,5,lib/tests/builtin/host-return.zy,direct
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,5,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,5,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,6,lib/tests/builtin/host-return.zy,direct
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,6,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,6,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,6,lib/tests/builtin/host-return.zy,trim
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,7,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,7,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,306,False,"[93, 26, 7, 0]",44018,3,76568,7,lib/tests/builtin/host-return.zy,trim
selected,debug,0,306,False,"[93, 26, 7, 0]",55538,7,99608,7,lib/tests/builtin/host-return.zy,direct
selected,debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,0,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,0,lib/tests/builtin/host-return.zy,trim
selected,debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,0,lib/tests/builtin/host-return.zy,direct
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,0,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,1,lib/tests/builtin/host-return.zy,trim
selected,debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,1,lib/tests/builtin/host-return.zy,direct
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,1,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,1,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,2,lib/tests/builtin/host-return.zy,direct
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,2,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,2,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,2,lib/tests/builtin/host-return.zy,trim
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,3,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,3,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,3,lib/tests/builtin/host-return.zy,trim
selected,debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,3,lib/tests/builtin/host-return.zy,direct
selected,debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,4,lib/tests/builtin/host-return.zy,baseline
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,4,lib/tests/builtin/host-return.zy,trim
selected,debug,0,247,True,"[66, 24, 7, 8]",57976,7,97755,4,lib/tests/builtin/host-return.zy,direct
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,4,lib/tests/builtin/host-return.zy,trim_direct
selected,debug,0,247,True,"[66, 24, 7, 8]",46456,3,74715,5,lib/tests/builtin/host-return.zy,trim
