experiment,profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
selected,debug,0,240000,343,14,4895625,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,direct
selected,debug,0,233167,343,14,4834836,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,trim_direct
selected,debug,0,224583,343,14,4824793,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,trim
selected,debug,0,237460,343,14,4956500,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,direct
selected,debug,0,224460,343,14,4874209,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,trim_direct
selected,debug,0,235875,343,14,4878125,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,baseline
selected,debug,0,226792,343,14,4722749,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,direct
selected,debug,0,240168,343,14,4784837,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,trim_direct
selected,debug,0,220165,343,14,4774752,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,baseline
selected,debug,0,219624,343,14,4733167,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,trim
selected,debug,0,219709,343,14,4800791,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,trim_direct
selected,debug,0,225584,343,14,4820750,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,baseline
selected,debug,0,227417,343,14,4806292,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,trim
selected,debug,0,222081,343,14,4626082,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,direct
selected,debug,0,249959,343,15,5065874,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,baseline
selected,debug,0,255957,343,15,5052959,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,trim
selected,debug,0,260833,343,15,4909041,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,direct
selected,debug,0,261960,343,15,4948458,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,trim_direct
selected,debug,0,251874,343,15,5053248,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,trim
selected,debug,0,273251,343,15,5289333,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,direct
